run,x,y,wheelpos,velocity
1,-3.57535146666667,196.8,15.103,1.6
1,-3.52237013333333,198.4,24.835,1.6
1,-3.4518144,200.0,33.073,1.6
1,-3.3686976,201.6,38.961,1.6
1,-3.27497173333333,203.2,43.934,1.6
1,-3.17428053333333,204.8,47.199,1.6
1,-3.06812373333333,206.4,49.761,1.6
1,-2.95895605226667,208.001199999999,51.134,1.6012
1,-2.84861415786667,209.6024,51.684,1.6012
1,-2.7386650912,211.2036,51.5,1.6012
1,-2.63112422933333,212.8048,50.372,1.6012
1,-2.52658081386667,214.406,48.968,1.6012
1,-2.42653143306667,216.0072,46.863,1.6012
1,-2.33149701066667,217.6084,44.514,1.6012
1,-2.24356157173333,219.2108,41.158,1.6024
1,-2.16396929546667,220.8132,37.253,1.6024
1,-2.09604462773333,222.4156,31.792,1.6024
1,-2.04324447946667,224.018,24.713,1.6024
1,-2.0116280592,225.620399999999,14.798,1.6024
1,-2.0029558704,227.222799999999,4.059,1.6024
1,-2.02434897866667,228.825199999999,-10.013,1.6024
1,-2.0711796528,230.427599999999,-21.919,1.6024
1,-2.14043379146667,232.031199999999,-32.39,1.6036
1,-2.2273125632,233.634799999999,-40.633,1.6036
1,-2.32959444746667,235.238399999999,-47.837,1.6036
1,-2.4444079312,236.841999999999,-53.698,1.6036
1,-2.5682956528,238.445599999999,-57.942,1.6036
1,-2.70047291733333,240.049199999999,-61.819,1.6036
1,-2.8376747952,241.652799999999,-64.169,1.6036
1,-2.97831090826667,243.257599999999,-65.726,1.6048
1,-3.11940492426667,244.862399999999,-65.94,1.6048
1,-3.26036841653333,246.467199999999,-65.879,1.6048
1,-3.39976348426667,248.072,-65.146,1.6048
1,-3.53739541173333,249.6768,-64.322,1.6048
1,-3.67345891466667,251.2816,-63.589,1.6048
1,-3.80828137226667,252.8864,-63.009,1.6048
1,-3.94225649546667,254.4912,-62.613,1.6048
1,-4.07548169013334,256.0972,-62.216,1.606
1,-4.20824863946667,257.7032,-62.002,1.606
1,-4.34036248213334,259.3092,-61.697,1.606
1,-4.47227932213333,260.9152,-61.605,1.606
1,-4.60302057013333,262.5212,-61.056,1.606
1,-4.73173397546667,264.1272,-60.109,1.606
1,-4.85763795146667,265.7332,-58.797,1.606
1,-4.98108376906667,267.3404,-57.606,1.6072
1,-5.10119303946667,268.947599999999,-56.049,1.6072
1,-5.21718144906667,270.554799999999,-54.126,1.6072
1,-5.3285239792,272.161999999999,-51.958,1.6072
1,-5.434894904,273.769199999999,-49.638,1.6072
1,-5.53740640586667,275.376399999999,-47.837,1.6072
1,-5.63618920373334,276.983599999999,-46.097,1.6072
1,-5.73255048693334,278.590799999999,-44.967,1.6072
1,-5.82603927306667,280.199199999999,-43.594,1.6084
1,-5.916909584,281.807599999999,-42.373,1.6084
1,-6.00483330613334,283.415999999999,-40.999,1.6084
1,-6.09059533866667,285.024399999999,-39.991,1.6084
1,-6.1747875728,286.632799999999,-39.259,1.6084
1,-6.2577359776,288.241199999999,-38.679,1.6084
1,-6.34016111626667,289.849599999999,-38.435,1.6084
1,-6.42231939253334,291.459199999999,-38.282,1.6096
1,-6.5044776688,293.068799999999,-38.282,1.6096
1,-6.58663594506667,294.6784,-38.282,1.6096
1,-6.66912257973334,296.287999999999,-38.435,1.6096
1,-6.7520663408,297.897599999999,-38.648,1.6096
1,-6.83592864693334,299.5072,-39.076,1.6096
1,-6.92050990773334,301.1168,-39.411,1.6096
1,-7.00600687626667,302.727599999999,-39.808,1.6108
1,-7.09235649493334,304.338399999999,-40.205,1.6108
1,-7.17968977546667,305.949199999999,-40.663,1.6108
1,-7.2680732976,307.559999999999,-41.152,1.6108
1,-7.35665226346667,309.170799999999,-41.243,1.6108
1,-7.44523122933334,310.781599999999,-41.243,1.6108
1,-7.5338101952,312.392399999999,-41.243,1.6108
1,-7.62238916106667,314.003199999999,-41.243,1.6108
1,-7.71103411573334,315.615199999999,-41.243,1.612
1,-7.79967907040001,317.227199999999,-41.243,1.612
1,-7.88832402506667,318.839199999999,-41.243,1.612
1,-7.97696897973334,320.451199999999,-41.243,1.612
1,-8.06561393440001,322.063199999999,-41.243,1.612
1,-8.15425888906667,323.6752,-41.243,1.612
1,-8.24290384373334,325.287199999999,-41.243,1.612
1,-8.33161478720001,326.9004,-41.243,1.6132
1,-8.42058814453334,328.5136,-41.365,1.6132
1,-8.50962818080001,330.1268,-41.396,1.6132
1,-8.59866821706667,331.74,-41.396,1.6132
1,-8.68770825333334,333.3532,-41.396,1.6132
1,-8.77674828960001,334.9664,-41.396,1.6132
1,-8.86578832586667,336.5796,-41.396,1.6132
1,-8.95482836213334,338.1928,-41.396,1.6132
1,-9.04393463200001,339.8072,-41.396,1.6144
1,-9.13304090186667,341.4216,-41.396,1.6144
1,-9.22214717173334,343.036,-41.396,1.6144
1,-9.31046346186667,344.6504,-41.029,1.6144
1,-9.39746670666667,346.2648,-40.419,1.6144
1,-9.48243150240001,347.879199999999,-39.472,1.6144
1,-9.56391565173334,349.4936,-37.855,1.6144
1,-9.64032922346667,351.1092,-35.473,1.6156
1,-9.70780098773334,352.7248,-31.322,1.6156
1,-9.76613061013334,354.3404,-27.078,1.6156
1,-9.81426687360001,355.956,-22.346,1.6156
1,-9.85372413386667,357.5716,-18.317,1.6156
1,-9.88417065440001,359.1872,-14.134,1.6156
1,-9.90817416213334,360.8028,-11.143,1.6156
1,-9.92750750880001,362.4184,-8.975,1.6156
1,-9.94396006560001,364.0352,-7.632,1.6168
1,-9.95824179893334,365.652,-6.625,1.6168
1,-9.97113955146667,367.2688,-5.983,1.6168
1,-9.98245930720001,368.8856,-5.251,1.6168
1,-9.99331773600001,370.5024,-5.037,1.6168
1,-10.0041761648,372.1192,-5.037,1.6168
1,-10.0150345936,373.736,-5.037,1.6168
1,-10.0262958736,375.354,-5.22,1.618
1,-10.0375571536,376.972,-5.22,1.618
1,-10.0488184336,378.59,-5.22,1.618
1,-10.0592901296,380.208,-4.854,1.618
1,-10.0695633509333,381.826,-4.762,1.618
1,-10.0798365722667,383.444,-4.762,1.618
1,-10.0901097936,385.062,-4.762,1.618
1,-10.1003906341333,386.6812,-4.762,1.6192
1,-10.1106714746667,388.3004,-4.762,1.6192
1,-10.1210840101333,389.9196,-4.823,1.6192
1,-10.1324205690667,391.5388,-5.251,1.6192
1,-10.1458664058667,393.158,-6.228,1.6192
1,-10.1626737018667,394.7772,-7.785,1.6192
1,-10.1842911013333,396.3964,-10.013,1.6192
1,-10.211115848,398.0156,-12.425,1.6192
1,-10.2455461072,399.636,-15.936,1.6204
1,-10.2874280458667,401.2564,-19.385,1.6204
1,-10.3374227872,402.8768,-23.14,1.6204
1,-10.3938148677333,404.4972,-26.101,1.6204
1,-10.4564724949333,406.1176,-29.001,1.6204
1,-10.5234835968,407.738,-31.016,1.6204
1,-10.5943210032,409.3584,-32.787,1.6204
1,-10.6676519173333,410.98,-33.916,1.6216
1,-10.7423038949333,412.6016,-34.527,1.6216
1,-10.8169558725333,414.2232,-34.527,1.6216
1,-10.8916078501333,415.8448,-34.527,1.6216
1,-10.9654684869333,417.4664,-34.161,1.6216
1,-11.0376772538667,419.088,-33.397,1.6216
1,-11.1076417264,420.7096,-32.359,1.6216
1,-11.1749662341333,422.3312,-31.138,1.6216
1,-11.2381797034667,423.954,-29.215,1.6228
1,-11.2966372869333,425.5768,-27.017,1.6228
1,-11.3482920928,427.1996,-23.873,1.6228
1,-11.3931419573333,428.8224,-20.728,1.6228
1,-11.4,430.4452,-16.79,1.6228
1,-11.4,432.068,-13.005,1.6228
1,-11.4,433.6908,-8.578,1.6228
1,-11.4,435.3148,-4.61,1.624
1,-11.4,436.9388,-0.061,1.624
1,-11.3925317653333,438.5628,3.449,1.624
1,-11.3785913493333,440.1868,6.438,1.624
1,-11.359893696,441.8108,8.635,1.624
1,-11.336638016,443.4348,10.74,1.624
1,-11.310673504,445.0588,11.991,1.624
1,-11.2834329850667,446.684,12.571,1.6252
1,-11.2561274581333,448.3092,12.601,1.6252
1,-11.2288219312,449.9344,12.601,1.6252
1,-11.2015164042667,451.5596,12.601,1.6252
1,-11.1742108773333,453.1848,12.601,1.6252
1,-11.1461772608,454.81,12.937,1.6252
1,-11.1180114613333,456.4352,12.998,1.6252
1,-11.089516288,458.0604,13.15,1.6252
1,-11.0606010645333,459.6868,13.334,1.6264
1,-11.0311567189333,461.3132,13.578,1.6264
1,-11.0013155317333,462.9396,13.761,1.6264
1,-10.9714743445333,464.566,13.761,1.6264
1,-10.9416331573333,466.1924,13.761,1.6264
1,-10.9122560362667,467.8188,13.547,1.6264
1,-10.8844662816,469.4452,12.815,1.6264
1,-10.8584442128,471.0728,11.991,1.6276
1,-10.8342103338667,472.7004,11.167,1.6276
1,-10.8126240176,474.328,9.947,1.6276
1,-10.7934877818667,475.9556,8.818,1.6276
1,-10.7771314869333,477.5832,7.537,1.6276
1,-10.7628954122667,479.2108,6.56,1.6276
1,-10.7506450096,480.8384,5.645,1.6276
1,-10.739453632,482.466,5.157,1.6276
1,-10.7290488576,484.0948,4.791,1.6288
1,-10.7191088341333,485.7236,4.577,1.6288
1,-10.7094989141333,487.3524,4.425,1.6288
1,-10.6998889941333,488.9812,4.425,1.6288
1,-10.6902790741333,490.61,4.425,1.6288
1,-10.6793443968,492.2388,5.035,1.6288
1,-10.6667526869333,493.8676,5.798,1.6288
1,-10.6528259669333,495.4976,6.408,1.63
1,-10.6381690069333,497.1276,6.744,1.63
1,-10.6234468469333,498.7576,6.774,1.63
1,-10.6087246869333,500.3876,6.774,1.63
1,-10.5940025269333,502.0176,6.774,1.63
1,-10.5792803669333,503.6476,6.774,1.63
1,-10.5654210202667,505.2776,6.377,1.63
1,-10.5524801669333,506.9088,5.95,1.6312
1,-10.5411313648,508.54,5.218,1.6312
1,-10.5312419429333,510.1712,4.547,1.6312
1,-10.5230119952,511.8024,3.784,1.6312
1,-10.5160435088,513.4336,3.204,1.6312
1,-10.5108649925333,515.0648,2.381,1.6312
1,-10.5073459504,516.696,1.618,1.6312
1,-10.5052210405333,518.3272,0.977,1.6312
1,-10.5049533269333,519.9596,0.123,1.6324
1,-10.5050207994667,521.592,-0.031,1.6324
1,-10.5054191050667,523.2244,-0.183,1.6324
1,-10.5059501792,524.8568,-0.244,1.6324
1,-10.5068795589333,526.4892,-0.427,1.6324
1,-10.5078089386667,528.1216,-0.427,1.6324
1,-10.5087383184,529.754,-0.427,1.6324
1,-10.5096683813333,531.3876,-0.427,1.6336
1,-10.5105984442667,533.0212,-0.427,1.6336
1,-10.5115285072,534.6548,-0.427,1.6336
1,-10.5129246906667,536.2884,-0.641,1.6336
1,-10.5155188474667,537.922,-1.191,1.6336
1,-10.5199731301333,539.5556,-2.045,1.6336
1,-10.5260915066667,541.1892,-2.809,1.6336
1,-10.5336769786667,542.824,-3.48,1.6348
1,-10.542461304,544.4588,-4.03,1.6348
1,-10.5525098746667,546.0936,-4.61,1.6348
1,-10.5634891914667,547.7284,-5.037,1.6348
1,-10.5752662906667,549.3632,-5.403,1.6348
1,-10.5871763536,550.998,-5.464,1.6348
1,-10.5990864165333,552.6328,-5.464,1.6348
1,-10.6109964794667,554.2676,-5.464,1.6348
1,-10.6223830394667,555.9036,-5.22,1.636
1,-10.6329712314667,557.5396,-4.854,1.636
1,-10.6433587408,559.1756,-4.762,1.636
1,-10.6533470661333,560.8116,-4.579,1.636
1,-10.6630692688,562.4476,-4.457,1.636
1,-10.6727914714667,564.0836,-4.457,1.636
1,-10.6825136741333,565.7196,-4.457,1.636
1,-10.692243008,567.3568,-4.457,1.6372
1,-10.7019723418667,568.994,-4.457,1.6372
1,-10.7117016757333,570.6312,-4.457,1.6372
1,-10.7214310096,572.2684,-4.457,1.6372
1,-10.7311603434667,573.9056,-4.457,1.6372
