step,run,clock_begin,time,x,y,collision,wheelpos,throttlepos,velocity,chosenvel
47,1,0.635132130342728,2017-10-27 15:16:46.453000,-0.662832,72.0,0,-11.505,1000.0,1.5,1.5
48,1,0.667733660103629,2017-10-27 15:16:46.485000,-0.685842,73.5,0,-11.505,1000.0,1.5,1.5
49,1,0.667784860184769,2017-10-27 15:16:46.485000,-0.708852,75.0,0,-11.505,1000.0,1.5,1.5
50,1,0.68028621332977,2017-10-27 15:16:46.498000,-0.731862,76.5,0,-11.505,1000.0,1.5,1.5
51,1,0.693285670121291,2017-10-27 15:16:46.511000,-0.754872,78.0,0,-11.505,1000.0,1.5,1.5
52,1,0.726171238427563,2017-10-27 15:16:46.543000,-0.77721,79.5,0,-11.169,1000.0,1.5,1.5
53,1,0.726223413748343,2017-10-27 15:16:46.543000,-0.799548,81.0,0,-11.169,1000.0,1.5,1.5
54,1,0.738724523083435,2017-10-27 15:16:46.556000,-0.821642,82.5,0,-11.047,1000.0,1.5,1.5
55,1,0.751442379428685,2017-10-27 15:16:46.569000,-0.843736,84.0,0,-11.047,1000.0,1.5,1.5
56,1,0.78530611309464,2017-10-27 15:16:46.603000,-0.865708,85.5,0,-10.986,1000.0,1.5,1.5
57,1,0.785362189373984,2017-10-27 15:16:46.603000,-0.88768,87.0,0,-10.986,1000.0,1.5,1.5
58,1,0.797863542518986,2017-10-27 15:16:46.616000,-0.909652,88.5,0,-10.986,1000.0,1.5,1.5
59,1,0.81059895317777,2017-10-27 15:16:46.629000,-0.931624,90.0,0,-10.986,1000.0,1.5,1.5
60,1,0.844884234178443,2017-10-27 15:16:46.663000,-0.953474,91.5,0,-10.925,1000.0,1.5,1.5
61,1,0.844945186655991,2017-10-27 15:16:46.663000,-0.975324,93.0,0,-10.925,1000.0,1.5,1.5
62,1,0.85772545833825,2017-10-27 15:16:46.676000,-0.996808,94.5,0,-10.742,1000.0,1.5,1.5
63,1,0.870759048517197,2017-10-27 15:16:46.689000,-1.017866,96.0,0,-10.529,1000.0,1.5,1.5
64,1,0.904036419349145,2017-10-27 15:16:46.722000,-1.036542,97.5,0,-9.338,1000.0,1.5,1.5
65,1,0.904090545149207,2017-10-27 15:16:46.722000,-1.055218,99.0,0,-9.338,1000.0,1.5,1.5
66,1,0.916882763517065,2017-10-27 15:16:46.735000,-1.07249,100.5,0,-8.636,1000.0,1.5,1.5
67,1,0.929916597505922,2017-10-27 15:16:46.748000,-1.088848,102.0,0,-8.179,1000.0,1.5,1.5
68,1,0.963581138475252,2017-10-27 15:16:46.781000,-1.102214,103.5,0,-6.683,1000.0,1.5,1.5
69,1,0.963661108125794,2017-10-27 15:16:46.781000,-1.11558,105.0,0,-6.683,1000.0,1.5,1.5
70,1,0.976162461270796,2017-10-27 15:16:46.794000,-1.12742,106.5,0,-5.92,1000.0,1.5,1.5
71,1,0.989074146494647,2017-10-27 15:16:46.807000,-1.13749,108.0,0,-5.035,1000.0,1.5,1.5
72,1,1.02374050238495,2017-10-27 15:16:46.841000,-1.143654,109.5,0,-3.082,1000.0,1.5,1.5
73,1,1.02380291772196,2017-10-27 15:16:46.841000,-1.149818,111.0,0,-3.082,1000.0,1.5,1.5
74,1,1.03630427086696,2017-10-27 15:16:46.854000,-1.154396,112.5,0,-2.289,1000.0,1.5,1.5
75,1,1.04923399802416,2017-10-27 15:16:46.867000,-1.158242,114.0,0,-1.923,1000.0,1.5,1.5
76,1,1.08423949349954,2017-10-27 15:16:46.901000,-1.161598,115.5,0,-1.678,1000.0,1.5,1.5
77,1,1.08429288786987,2017-10-27 15:16:46.902000,-1.164954,117.0,0,-1.678,1000.0,1.5,1.5
78,1,1.09679424101487,2017-10-27 15:16:46.914000,-1.16831,118.5,0,-1.678,1000.0,1.5,1.5
79,1,1.10939360574377,2017-10-27 15:16:46.927000,-1.171666,120.0,0,-1.678,1000.0,1.5,1.5
80,1,1.14541895807347,2017-10-27 15:16:46.962000,-1.17539,121.5,0,-1.862,1000.0,1.5,1.5
81,1,1.14547015815461,2017-10-27 15:16:46.963000,-1.179114,123.0,0,-1.862,1000.0,1.5,1.5
82,1,1.1585261788453,2017-10-27 15:16:46.977000,-1.18296,124.5,0,-1.923,1000.0,1.5,1.5
83,1,1.17155952521433,2017-10-27 15:16:46.990000,-1.186806,126.0,0,-1.923,1000.0,1.5,1.5
84,1,1.2071413873174,2017-10-27 15:16:47.025000,-1.190652,127.5,0,-1.923,1000.0,1.5,1.5
85,1,1.20719136834899,2017-10-27 15:16:47.025000,-1.194498,129.0,0,-1.923,1000.0,1.5,1.5
86,1,1.21969223387417,2017-10-27 15:16:47.038000,-1.198344,130.5,0,-1.923,1000.0,1.5,1.5
87,1,1.23272265452428,2017-10-27 15:16:47.051000,-1.20219,132.0,0,-1.923,1000.0,1.5,1.5
88,1,1.26933022491952,2017-10-27 15:16:47.087000,-1.206036,133.5,0,-1.923,1000.0,1.5,1.5
89,1,1.26937679261236,2017-10-27 15:16:47.087000,-1.209882,135.0,0,-1.923,1000.0,1.5,1.5
90,1,1.28187814575737,2017-10-27 15:16:47.100000,-1.213728,136.5,0,-1.923,1000.0,1.5,1.5
91,1,1.29488784256511,2017-10-27 15:16:47.113000,-1.217574,138.0,0,-1.923,1000.0,1.5,1.5
92,1,1.33209494152951,2017-10-27 15:16:47.150000,-1.22142,139.5,0,-1.923,1000.0,1.5,1.5
93,1,1.33214467875119,2017-10-27 15:16:47.150000,-1.225266,141.0,0,-1.923,1000.0,1.5,1.5
94,1,1.34502174296779,2017-10-27 15:16:47.163000,-1.229112,142.5,0,-1.923,1000.0,1.5,1.5
95,1,1.35805557695665,2017-10-27 15:16:47.176000,-1.232958,144.0,0,-1.923,1000.0,1.5,1.5
96,1,1.39530412360577,2017-10-27 15:16:47.213000,-1.235582,145.5,0,-1.312,1000.0,1.5,1.5
97,1,1.39535410463736,2017-10-27 15:16:47.213000,-1.238206,147.0,0,-1.312,1000.0,1.5,1.5
98,1,1.40819459736744,2017-10-27 15:16:47.226000,-1.240526,148.5,0,-1.16,1000.0,1.5,1.5
99,1,1.42122428658782,2017-10-27 15:16:47.239000,-1.242358,150.0,0,-0.916,1000.0,1.5,1.5
100,1,1.45889852534014,2017-10-27 15:16:47.276000,-1.242968,151.5,0,-0.305,1000.0,1.5,1.5
101,1,1.45895289495011,2017-10-27 15:16:47.276000,-1.243578,153.0,0,-0.305,1000.0,1.5,1.5
102,1,1.4714540042852,2017-10-27 15:16:47.289000,-1.243944,154.5,0,-0.183,1000.0,1.5,1.5
103,1,1.484392996219,2017-10-27 15:16:47.302000,-1.243944,156.0,0,0.0,1000.0,1.5,1.5
104,1,1.52301272980303,2017-10-27 15:16:47.340000,-1.243514,157.5,0,0.215,1000.0,1.5,1.5
105,1,1.52306441750399,2017-10-27 15:16:47.340000,-1.243084,159.0,0,0.215,1000.0,1.5,1.5
106,1,1.53556577064899,2017-10-27 15:16:47.354000,-1.242532,160.5,0,0.276,1000.0,1.5,1.5
107,1,1.54856278934141,2017-10-27 15:16:47.367000,-1.241858,162.0,0,0.337,1000.0,1.5,1.5
108,1,1.58754921303037,2017-10-27 15:16:47.405000,-1.239354,163.5,0,1.252,1000.0,1.5,1.5
109,1,1.5876121159872,2017-10-27 15:16:47.405000,-1.23685,165.0,0,1.252,1000.0,1.5,1.5
110,1,1.6001134691322,2017-10-27 15:16:47.418000,-1.233552,166.5,0,1.649,1000.0,1.5,1.5
111,1,1.61273380151338,2017-10-27 15:16:47.431000,-1.229034,168.0,0,2.259,1000.0,1.5,1.5
112,1,1.65273301156927,2017-10-27 15:16:47.470000,-1.220914,169.5,0,4.06,1000.0,1.5,1.5
113,1,1.65278786879906,2017-10-27 15:16:47.471000,-1.212794,171.0,0,4.06,1000.0,1.5,1.5
114,1,1.66528922194406,2017-10-27 15:16:47.483000,-1.20327,172.5,0,4.762,1000.0,1.5,1.5
115,1,1.67791223623425,2017-10-27 15:16:47.496000,-1.192098,174.0,0,5.586,1000.0,1.5,1.5
116,1,1.71829886023743,2017-10-27 15:16:47.536000,-1.174394,175.5,0,8.852,1000.0,1.5,1.5
117,1,1.71838004893753,2017-10-27 15:16:47.536000,-1.15669,177.0,0,8.852,1000.0,1.5,1.5
118,1,1.73104889949083,2017-10-27 15:16:47.549000,-1.136606,178.5,0,10.042,1000.0,1.5,1.5
119,1,1.7440832210995,2017-10-27 15:16:47.562000,-1.114142,180.0,0,11.232,1000.0,1.5,1.5
120,1,1.78456054238928,2017-10-27 15:16:47.602000,-1.080264,181.5,0,16.939,1000.0,1.5,1.5
121,1,1.78464928919659,2017-10-27 15:16:47.602000,-1.046386,183.0,0,16.939,1000.0,1.5,1.5
122,1,1.7972323186615,2017-10-27 15:16:47.615000,-1.008356,184.5,0,19.015,1000.0,1.5,1.5
123,1,1.81025908216296,2017-10-27 15:16:47.628000,-0.965504,186.0,0,21.426,1000.0,1.5,1.5
124,1,1.85112771835859,2017-10-27 15:16:47.668000,-0.901106,187.5,0,32.199,1000.0,1.5,1.5
125,1,1.85119574132354,2017-10-27 15:16:47.668000,-0.836708,189.0,0,32.199,1000.0,1.5,1.5
126,1,1.86369685065863,2017-10-27 15:16:47.681000,-0.76523,190.5,0,35.739,1000.0,1.5,1.5
127,1,1.87643543084624,2017-10-27 15:16:47.694000,-0.685634,192.0,0,39.798,1000.0,1.5,1.5
128,1,1.91819787417263,2017-10-27 15:16:47.736000,-0.584186,193.5,0,50.724,1000.0,1.5,1.5
129,1,1.9182522437826,2017-10-27 15:16:47.736000,-0.48176,195.0,0,51.213,1000.0,1.5,1.5
130,1,1.93075359692761,2017-10-27 15:16:47.749000,-0.37323,196.5,0,54.265,1000.0,1.5,1.5
131,1,1.94361432588023,2017-10-27 15:16:47.762000,-0.258964,198.0,0,57.133,1000.0,1.5,1.5
132,1,1.9850222695972,2017-10-27 15:16:47.803000,-0.127302,199.5,0,65.831,1000.0,1.5,1.5
133,1,1.98508297826483,2017-10-27 15:16:47.803000,0.00436000000000036,201.0,0,65.831,1000.0,1.5,1.5
134,1,1.99775914311544,2017-10-27 15:16:47.816000,0.13999,202.5,0,67.815,1000.0,1.5,1.5
135,1,2.01079322091421,2017-10-27 15:16:47.829000,0.279954,204.0,0,69.982,1000.0,1.5,1.5
136,1,2.05324101389814,2017-10-27 15:16:47.871000,0.429928,205.5,0,74.987,1000.0,1.5,1.5
137,1,2.05329855303694,2017-10-27 15:16:47.871000,0.580001982666667,207.001,0,74.987,1000.0,1.501,1.5
138,1,2.06594058450013,2017-10-27 15:16:47.884000,0.732091308,208.502,0,75.994,1000.0,1.501,1.501
139,1,2.07897441848898,2017-10-27 15:16:47.897000,0.885951813333334,210.003,0,76.879,1000.0,1.501,1.501
140,1,2.12115767772036,2017-10-27 15:16:47.939000,1.04213386533333,211.504,0,78.039,1000.0,1.501,1.501
141,1,2.121218386388,2017-10-27 15:16:47.939000,1.19831591733333,213.005,0,78.039,1000.0,1.501,1.501
142,1,2.13412226969472,2017-10-27 15:16:47.952000,1.35456001066667,214.506,0,78.07,1000.0,1.501,1.501
143,1,2.14715585987367,2017-10-27 15:16:47.965000,1.513001568,216.007,0,79.168,1000.0,1.501,1.501
144,1,2.18831609272188,2017-10-27 15:16:48.006000,1.67474132266667,217.508,0,80.816,1000.0,1.501,1.501
145,1,2.18840654619856,2017-10-27 15:16:48.006000,1.836588832,219.01,0,80.816,1000.0,1.502,1.501
146,1,2.20130043329897,2017-10-27 15:16:48.019000,1.99843634133333,220.512,0,80.816,1000.0,1.502,1.502
147,1,2.21433451109774,2017-10-27 15:16:48.032000,2.16028385066667,222.014,0,80.816,1000.0,1.502,1.502
148,1,2.25570929666692,2017-10-27 15:16:48.073000,2.32213136,223.516,0,80.816,1000.0,1.502,1.502
149,1,2.25576537294627,2017-10-27 15:16:48.073000,2.48397886933333,225.018,0,80.816,1000.0,1.502,1.502
150,1,2.26847908452304,2017-10-27 15:16:48.086000,2.64582637866667,226.52,0,80.816,1000.0,1.502,1.502
151,1,2.28151364994163,2017-10-27 15:16:48.100000,2.807673888,228.022,0,80.816,1000.0,1.502,1.502
152,1,2.32403507351844,2017-10-27 15:16:48.142000,2.96946131733333,229.524,0,80.786,1000.0,1.502,1.502
153,1,2.32413259748252,2017-10-27 15:16:48.142000,3.13135646133333,231.027,0,80.786,1000.0,1.503,1.502
154,1,2.33666125733746,2017-10-27 15:16:48.155000,3.29312936133333,232.53,0,80.725,1000.0,1.503,1.503
155,1,2.34969484751641,2017-10-27 15:16:48.168000,3.45465777333333,234.033,0,80.603,1000.0,1.503,1.503
156,1,2.39216409577243,2017-10-27 15:16:48.210000,3.61331044533333,235.536,0,79.168,1000.0,1.503,1.503
157,1,2.39222163491124,2017-10-27 15:16:48.210000,3.77196311733333,237.039,0,79.168,1000.0,1.503,1.503
158,1,2.40484367396178,2017-10-27 15:16:48.223000,3.92865988533333,238.542,0,78.192,1000.0,1.503,1.503
159,1,2.41787628890109,2017-10-27 15:16:48.236000,4.08346086933333,240.045,0,77.246,1000.0,1.503,1.503
160,1,2.46042575061757,2017-10-27 15:16:48.278000,4.23018773733333,241.548,0,73.217,1000.0,1.503,1.503
161,1,2.46053010125913,2017-10-27 15:16:48.278000,4.377012228,243.052,0,73.217,1000.0,1.504,1.503
162,1,2.47303145440413,2017-10-27 15:16:48.291000,4.521510532,244.556,0,72.057,1000.0,1.504,1.504
163,1,2.48605773028577,2017-10-27 15:16:48.304000,4.66380698,246.06,0,70.959,1000.0,1.504,1.504
164,1,2.52849138229491,2017-10-27 15:16:48.346000,4.79936951866667,247.564,0,67.601,1000.0,1.504,1.504
165,1,2.5285459957148,2017-10-27 15:16:48.346000,4.93493205733333,249.068,0,67.601,1000.0,1.504,1.504
166,1,2.54120460625187,2017-10-27 15:16:48.359000,5.06914901733333,250.572,0,66.93,1000.0,1.504,1.504
167,1,2.55423868405064,2017-10-27 15:16:48.372000,5.20238737466667,252.076,0,66.442,1000.0,1.504,1.504
168,1,2.59671987899227,2017-10-27 15:16:48.414000,5.33446263866667,253.58,0,65.862,1000.0,1.504,1.504
169,1,2.59680618770047,2017-10-27 15:16:48.414000,5.46662571866667,255.085,0,65.862,1000.0,1.505,1.504
170,1,2.60938726668611,2017-10-27 15:16:48.427000,5.59878879866667,256.59,0,65.862,1000.0,1.505,1.505
171,1,2.62242500163353,2017-10-27 15:16:48.440000,5.73095187866667,258.095,0,65.862,1000.0,1.505,1.505
172,1,2.66483183455255,2017-10-27 15:16:48.483000,5.86311495866666,259.6,0,65.862,1000.0,1.505,1.505
173,1,2.66487791462557,2017-10-27 15:16:48.483000,5.99527803866666,261.105,0,65.862,1000.0,1.505,1.505
174,1,2.67756724521133,2017-10-27 15:16:48.496000,6.12744111866666,262.61,0,65.862,1000.0,1.505,1.505
175,1,2.69060205443983,2017-10-27 15:16:48.509000,6.25960419866666,264.115,0,65.862,1000.0,1.505,1.505
